現在フランスでは一般的に62歳 まで働きます。, En France on travaille en général jusqu'à 62 ans maintenant.
夏になるとフランス国内の南へ向かう道路は渋滞します。," ""En été, iI y a des embouteillages sur les routes vers le Sud de la France."""
来 年 か ら禁 煙 します 。," ""A partir de l'année prochaine, j'arrête de fumer."""
7月 1日 から学校は夏休みに入ります。," ""Dès le 1er juillet, les écoles sont en congés d'été."""
12時30分から13時30分までお昼休みがあります。, Entre 12h30 et 13h30 il y a la pause déjeuner.
私の好きな作家の多くは19世紀の作家です。," ""Parmi mes écrivains préférés, beaucoup songt du XIXe siècle."""
私にはいい友達が何人もいます。彼らとの間に問題が起きたことはありません。, J'ai de bons amis /entre nous il n'y a jamais de problème.
私は6時頃起きて、午前0時頃寝ます。, Je me lève vers les 6 heures et me couche vers les minuit.
「テレビは見ますか?」「はい、よく見ます」," ""«Vous regardez la télévision»«Ou, je la regarde souvent.»"""
そして新聞は? 毎日読みますか?," ""Et le journal, vous Ie lisez quotidiennement ?"""
「友達を家に招くことはありますか?」「はい、定期的に招いています」," ""« Vous invitez vos amis chez vous ? » « Oui, je les invite régulièrement. »"""
「奥さんを愛してますか?」「はい、愛してます」," ""« Tu aimes ta femme ?» « Oui, je I'aime. »"""
あ れ、男の子が私を見てる!," ""Tiens, ce garçon me regarde !"""
君が歌うのを私は喜んで聴いています。, Je t'écoute chanter avec plaisir.
彼は池袋駅で私を待つています。, II m'attend à la gare d'Ikebukuro.
宿題は、カフェでします。," ""Les devoirs, je les fais au café."""
私はアルザス地方料理「シュ...クルート」がとても好きです," ""La choucroute alsacienne, je I'aime beaucoup."""
鍵は、持つていません。," ""Les clefs, je ne les ai pas."""
私 は 友 達 に 電 話 し ま す 。彼 に は い つ も 夜 、電 話 す る ん で す 。, Je téléphone à mon ami. Je lui téléphone le soir.
「ご両親にメールを送りますか?」「はい、送っています」," ""« Vous envoyez des courriels à vos parents ? » « Oui, je leur envoie des courriels. »"""
その心理学者は彼に質問をします。, Ce psychologue lui pose des questions.
エリックは私を家に呼んでくれます。, Eric m'invite chez lui.
彼は隣近所の人達と仲たがいしています。彼は彼らとはもう話をしません。, Il est fâché avec ses voisins  il ne leur parle plus.
「君は奥さんにこれをプレゼントするの?」「はい、これを彼女にプレゼントします」," ""« Tu offres ce cadeau à ton épouse ? » « Oui, je le lui offre. »"""
「君は友達に本を貸すの?」「はい、私はそれらを彼らに貸します」," ""« Tu prêtes tes livres à tes amis ? » « Oui, je les leur prête. »"""
奥さんは旦那さんに田舎に引つ越そうと言います。, Sa femme lui propose de déménager d la campagne.
彼はパリがとても気に入つています。, Paris lui plait beaucoup.
このことは彼女には言いません、秘密です。," ""J ne le lui dis pas, c'est un secret."""
彼は私と同じ会社で働いています。, Il travaille avec moi dans la même entreprise.
彼女が君の家に住んでいるとは知らなかつた, Je ne savais pas qu'elle habite chez toi
「私は夏も仕事をしています」「私もです」, « Je travaille même en été. » « Moi aussi. »
この間違いの責任は誰にあるのですか、あなたですか?," ""Qui est responsable de cette erreur, c'est vous ?"""
いいえ、わたしではなく、彼らです," ""Non, ce n'est pas moi, ce sont eux."""
私は元気一杯、で君は?," ""Je suis en pleine forme, et toi ?"""
自分の家は居心地がいいものです。, On est bien chez soi.
私達は田舎が好きです。私達の子どもは、彼は都会のほうが好きです。," ""Nous aimons la campagne. Notre enfant, lui, préfère la ville."""
この人は自分のことをしやべりません、秘密主義者なんです," ""Cet homme ne parle pas de lui, il est secret."""
彼はとてもエコな人です、彼の奥さんもそうです。," ""il est très écologiste. Sa femme, elle, I'est aussi."""
「あなたはベジタリアンですか?」「私はベジタリアンではありません」, 《Vous êtes végétarien?》《Je ne le suis pas.》
「肉を食べますか?」「肉を食べます」, « Vous mangez de la viande ? » « J'en mange. »
「本は何冊お持ちですか?」「たくさん持つています」, « Vous avez combien de livres ? » « J'en ai beaucoup. »
「車はお持ちですか?」「はい、1台持つています」," ""《Volls avez une voiture?》 《Oui,j'en ai une.》"""
「アルコ...ルは召し上がりますか?」「たしなむ程度です」, « Vous consommez de I'alcool ? » « J'en consomme très peu. »
「彼女にCDを 貸しますか?」「いいえ、彼女には貸しません」," ""« Vous lui prête un CD ? » « Non, je ne lui en prête pas. »"""
「イチゴはありますか?」「はい、ありますよ」," ""« Il y a des fraises ? » « Oui, il y en a. »"""
「家に水はありますか?」「はい、2本 あります」," ""« Il y a de l'eau à la maison ? » « Oui, il y en a, deux bouteilles. »"""
「小切手帳をお持ちですか?」「いいえ、持つていません」," ""« Vous avez un chéquier ? » « Non, je n'en ai pas. »"""
そのことは彼女には話さないでください, Ne lui en parlez pas.
「リヨンヘは飛行機で行きますか?」「いいえ、丁GVで行きます」," ""« Vous allez à Lyon en avion? »« Non, j'y vais en TGV. »"""
「いつからナントにお住まいですか?」「2年 前からそこに住んでいます」, « Vous habitez à Nantes depuis conbien de temps? » «J'y habite depuis 2 ans.»
「毎週土曜日にスポーツクラブに通つていますか?」「いいえ、毎週日曜日です」," ""« Vous allez à la salle de sport le samedi? »« Non, j'y vais le dimanche.»"""
「この生徒は歴史に興味がありますか?」「いいえ、彼はそれにはあまり興味がありません」," ""« Cet élève s'intéresse à I'histoire? » « Non, il ne s'y intéresse pas beaucoup. »"""
「彼は歴史の授業に行つていますか?」「いいえ、彼はそれにはほとんど行つたことがありません」," ""« Il va au cours d'histoire ? » «Non, il n'y va presque jamais. »"""
「君は祖国の事を考えますか?」「はい、そのことを考えます," ""« Tu penses d ton pays ? » « Oui, j'y pense. »"""
「君はあのカフェにいるの?」「はい、ここで待つています」," ""« Tu es au caf6é ? » « Oui, je t'y attends. »"""
彼はパリが好きで、今そこに住んでいます, Il aime Paris et y habite maintenant.
「ポ...ルはワイン通ですか?」「はい、そうです」," ""« Paul connait bien le vin ?  » « Oui, il s'y connait. »"""
や つ た 、や つ と 宿 題 が 終 わ つ た 。," ""Ça y est, j'ai enfin fini mes devoirs."""
「彼女は彼に練習問題の説明をしますか?」 「はい、彼女は彼にその説明をします」," ""« ElIe lui explique I'exercice ? » « Oui, elle le lui explique. »"""
「その女性の看護師は彼に薬を与えますか?」  「はい、彼女は彼にそれを与えます」," ""« L'infirmière lui donne des médicaments ? » « Oui, elle lui en donne. »"""
このワインおいしいわね、私にそのワインを何本か買つてくれますか?," ""Le vin est bon, tu m'en achètes quelques bouteilles ?"""
「ご主人はあなたにプレゼントをしてくれますか?」「いいえ、彼は私にそれをしてくれません」 ," ""« Votre mari vous fait des cadeaux ? » « Non, il ne m'en fait pas.  »"""
「ショートメッセ...ジを友達に送りますか?」「毎日彼らにそれを送つています」, « Vous envoyez des SMS à vos amis ? » « Je leur en envoie tous les jours. »
「私を駅まで送つてくれる?」「はい、すぐに君をそこまで送ります」," ""« Tu m'amènes à la gare ? » « Oui, je t'y amdne tout de suite. »"""
「愛 してる?」「繰 り返 しますよ、愛 してます」," ""« Tu m'aimes ? » « Je te le répète, je t'aime. »"""
「私達の問題を彼に話すの?」「そのことについては彼に明日話します」, « Tu lui parles de notre problème ? » « Je lui en parle demain. »
「先生は学生達に10題練習問題を出しますか?」「はい、彼は彼らにそれを10題 出します」," ""« Le professeur donne dix exercises aux étudiants? » « Oui, il leur donne dix. »"""
「コーヒーはありますか?」「はい、あります」," ""« Il y a du café ? » « Oui, il y en a. »"""
私をわくわくさせる本は歴史に関するものです。, Les livres qui me passionnent sont les livres d'hisoire.
テラスに座つている女性は金髪です。, La femme qui est assise à la terrasse est blonde.
私が好きな女性は金髪です。, La femme que j'aime est blonde.
私が好きな、そして私に夢を見させてくれるビアニストの演奏を聴いています。, J'écoute le pianiste que j'aime et qui me fait rêver.
私が好きな町は生まれ故郷です。, La ville que j'aime est ma ville natale.
私が生まれた町はとても住み心地のいいところです。, La ville où je suis né est très agréable.
金曜日は仕事がない日です。, Vendredi c'est le jour où je ne travaille pas.
７月と８月はフランス人が休暇で出かける月です。, Juillet et août ont les mois où ls Français partent en vacances.
カフェでよく話題になるのはどんなことですか？," ""Au café, quels sont les sujets don't vous parlez souvent?"""
彼女が私にする微笑み方が好きです。, J'aime la façon ont elle me sourit.
これは私が仕事をする机です。, Voità le bureau sur lequel je travaille.
私が働いている会社はパリにあります。, fu société pour laquelle je travaille est à Paris.
私の仕事のクライアントは要求の多い人達です。, Les clients pour lesquels je travaille sont exigeants.
私が出席している授業は面白いです。, Les cours auxquels j'assiste sont intéressants.
彼は私に何通も手紙をくれました。私はその手紙に返事を書きました。, Il m'a écrit plusieurs lettres auxquelles j'ai répondu.
私が所属しているサッカーチームはよく練習します。, L'équipe de football a laquelle j'appartiens s'entraîne beaucoup.
私が寝ている部屋はとても狭いです。, Lu pièce dans laquelle je dors est très petite.
 私が住んでいる所の近くにある歴史的建造物は大聖堂です, Le monument près duquel j'habite est une cathédrale.
君が住んでいる所の向かいにある教会は何という名前ですか?, Comment s'appelle l'église en face de laquelle tu habites ?
あなたが座つている肘掛け椅子は座りごこちがいいですか?, Le fauteuil dans lequel vous êtes assis est-il confortable ?
「あなたはドイツ人ですか?」「いいえ、私はオランダ人です」," ""« Vous êtes allemand ? » « Non, je suis hollandais. »"""
「1人住まいではないんですか?」「いいえ、1人住まいです」," ""« Vous n'habitez pas seul ? » « Si, j'habite seul. »"""
「独身ですか?」「はい、そうです」," ""« Vous êtes célibataire ? » « Oui, je le suis. »"""
「私は結婚しています」「私もです」," ""« Vous, je suis marié. » « Moi aussi. »"""
「私は結婚していません」「私もです」," ""« Moi, je ne suis pas marié. » « Moi non plus. »"""
「土曜日は仕事をしていますか?」「午前中はしていません」, « Tu travailles le samedi ? » « Pas le matin. »
ご家族と旅行中ですか?, « Vous êtes en voyage avec votre famille ? »
「部長さんはいらつしやいますか?」「いいえ、今日はおりません」," ""« Est-ce que le directeur est la? »  « Non, il est absent aujourd'hui. »"""
「今朝、仕事に遅れましたか?」「いいえ、ちようど定時でした」," ""« Vous êtes en retard ce matin au travail ? » « Non, je suis juste d I'heure. »"""
「この冬は太らなかつたかな?」「大丈夫、太つてないです」," ""« Je n'ai pas pris de poids cet hiver? » « Mais non, tu n'as pas grossi. »"""
旅行でどこにお出かけですか?, Où allez-vous en voyage ?
いつ出発ですか?, Quand partez-vous ?
どうやつて旅行しますか?, Comment voyagez-vous ?
南仏にはどのくらい滞在しますか?, Combien de temps restez-vous dans le Sud ?
どうしてコートダジュールを選んだのですか?, Pourquoi avez-vous choisi la Côte d'Azur ?
誰と旅行しますか?, Vous voyagez avec qui ?
誰をお探しですか?, Qui cherchez-vous?
何をお探しですか?, Que cherchez-vous?
「何歳ですか?」「しつ、秘密です」," ""« Quel âge avez-vous? » « Chut, c'est un secret. »"""
何語を話しますか?, Quelles langues parlez-vous?
このレッスンは何もわからない。, Je ne comprends rien i cette leçon.
私は結婚しているので、もう夜遊びはしません。," ""Je suis marié, donc je ne sors plus le soir."""
この町では誰も知りません、そこには友達 は 1人 もいません。," ""Je ne connais personne dans cette ville, je n'ai ai aucun ami."""
も うタバコは吸わないし、お酒も飲みません。, Je ne fume plus et je ne bois plus.
木曜と金曜は仕事をしません。, Je ne travaille ni le jeudi ni le vendredi.
妻を連れずに外出することはありません。, Je ne sors jamais sans ma femme.
雨が降つていますが、彼は傘をささずに出かけます。, Il pteut mais il sort sans parapluie.
彼はよく勉強します、4時 間しか寝ません。, Il étudie beaucoup et ne dort que quatre heures par nuit.
家賃は月たつたの300ユーロです。, Le lolyer ine coûte que trois cents euros par mois.
「ワインかビールを飲みますか?」「どちらも飲みません」, « Vous buvez du vin ou de la bière ? » « Je ne bois ni I'un ni I'autre. »
教師になって30年になります。, Il y a trente ans que je suis professeur.
この薬をのむようになつてから、よく眠れます。," ""Depuis que je prends ces médicaments, je dors mieux."""
フランスで女性が参政権を持つようになつたのは、やつと1945年のことです, En France les femmes votent depuis 1945 seulement.
私は1週間の予定でバリに滞在します。, Je suis à Paris pour une semaine.
彼女は2時 間もお風呂に入つています、長風呂ですね!," ""Elle prend son bain pendant deux heures, c'est long !"""
フランスでは大統領は5年 の任期で選出されます。, En France le président de la République est élu pour cinq ans.
毎週、私は1時間ランニングをします。," ""Toutes les semaines, je cours pendant une heure."""
私は1時間で10キロ走ります。, Je cours dix kilomètres en une heure.
彼は一晩中勉強して、8時間かかつて宿題を終えます。, Il travaille toute la nuit et flnit ses devoirs en huit heures.
子供達は1日に何時間もテレビを見ます。, Les enfants regardent la télévision plusieurs heures par jour.
女 性 は 以 前 と比 べ て よ り自立 して い ます 。, Les femmes sont plus indépendantes qu'avant.
今日では、昔と比べて、人間の寿命は延びています。, Aujourd'hui les gens vivent plus longtemps qu'autrefois.
夜に比べて日中は寒さが和らぎます。, Il tait moins froid le jour que la nuit.
彼は兄弟と同じぐらい頭がいいです。, Il est aussi intelligent que son frère.
彼は隣の人と同じぐらい働きます。, Il travaille autant que son voisin.
彼は経済危機以前と比べて、所有するお金が減つています。, Il a moins d'argent qu'avant la crise économique.
ア ドリアンは父親と同じようです。彼は父親同様野心家です。, Adrien est comme son père / il est aussi ambitieux que lui.
富士山は日本列島の最高峰です。, Le Mont Fuji est le plus haut sommet de l'archipel.
富士山は日本列島の最高峰です。, Il est le plus intelligent de la famille.
世界最大の都市、それは東京です。, C'est Tokyo qui est la plus grande ville du monde.
ポ ールは疲れていると言つています。, Paul dit qu'il est fatigué.
彼は私に全てが順調かどうか尋ねます。, Il me demande si tout va bien.
彼はあなたが何をしているのか、そして何が起きているのかを尋ねます。, Il demande ce que vous faites et ce qui se passe.
彼は彼女に家を出て行くよう言います。, Il lui dit de quitter la maison.
ジュリアンは彼女に今度の土曜日は何をするのか尋ねます。, Julien lui demande ce qu'elle fait samedi.
彼は私に自分が外国人であることを説明しました。, Il m'a expliqué qu'il était étranger.
天気はよかつた、と彼は言いました。, Il a dit qu'il avait fait beau.
自分は3カ 月後には仕事を辞めるだろうと彼は私に教えてくれました。, Il m'a  informé qu'il quitterait son emploi dans trois mois.
自分が持つている本の数が多過ぎると彼は私に説明しました。, Il m'a expliqué qu'il avait trop de livres.
ソフィーは日本に無事到着したと言いました。, Sophie a dit qu'elle était bien arrivée au Japon.
約束があるので、私は出かけなければなりません, Je dois partir parce que j'ai un rendez-vous.
赤ちゃんはお腹が空いているので、泣いています。, Le bébé pleure parce qu'il a faim.
寒かつたので、私達は家にいました。," ""Comme il faisait froid, nous sommes restés à la maison."""
君が変わらないので、私は君と別れます。," ""Comme tu n'as pas changé, je te quitte."""
サッカーの試合は中止になりました。雪がたくさん降つたからです, Le match de football a été annulé car il neigeait beaucoup.
彼は病気なので、働けないでしょう。," ""Puisqu'il est malade, il ne pourra pas travailler."""
冷蔵庫には何もないので、レストランに行きましよう。," ""Puisqu'il n'y a rien dans le frigidaire, allons au restaurant."""
通りの騒音が原因で、私はよく眠れません。, Je ne dors pas bien à cause du bruit de la rue.
君のアドヴァイスのおかげで私は試験に合格しました。," ""Grâce d tes conseils,  j'ai réussi l'examen."""
君のおかげで人生は素晴らしい!," ""Grâce à toi, la vie est belle !"""
試験に受かつたので、私は幸せです。," ""J'ai réussi mon examen, je suis donc heureux."""
雪がたくさん降つたので、道路は渋滞しています。," ""Il neige beaucoup, par conséquent il y a des embouteillages."""
テレビでやっている映画は面白くないので、映画館に行きましょう。," ""Le film i la télévision n'est pas intéressant, alors allons au cinéma."""
失業が増加し、その結果、消費は低迷しています。, Le chômage augmente si bien que la consommation baisse.
彼はくたくたになるほど働きました。," ""I a travaillé, à tel point qu'il est épuisé."""
私は仕事を探しているので、あちこちに履歴書を送つています。, Je cherche un travail c'est pourquoi j'evoie mon CV partout.
車の販売台数増加に伴つて、環境汚染もひどくなつています。, La vente de voitures augmente de sorte que la pollution augmente aussi.
インフルエンザが流行つているので、ワクチン接種が必要です。, Il y a la grippe et par conséquent il faut se faire vacciner
私が抱えている問題を説明するために、あなたに電話しています, Je vous téléphone afin de vous expliquer mes probldmes.
仕事に間に合うように、私は急いでいます。, Je me dépéche pour être i I'heure au travail.
お金は稼いでいますが、私は働きすぎです。, Je gagne de l'argent mais je travaille trop.
北部が寒いのに対して、コルシカ島は暖かです, Il fait froid dans le Nord par contre il fait doux en Corse.
仕事は好きですが、上司は嫌いです。, J'aime mon travail en revanche je déteste mon chef.
彼が感じがいいのに対して、彼女は感じが悪いです。, Il est sympathique alors qu'elle est antipathique.
彼は泳ぎが上手ですが、それに対して私は…, Il nage bien tandis que moi …
私は1人暮らしですが、孤独は好きではありません," ""Je vis seul, cependant je n'aime pas la solitude."""
たくさん食べたのに、お腹が空いています。, J'ai faim pourtant j'ai beaucoup mangé.
経済危機は去りましたが、また起きる可能性はあります。, La crise économique est passée toutefois elle peut revenir.
それにしても、もう少しよく考えたらいいのに!, Tu pourrais quand même réfléchir un peu !
努力はしているんだけれど、 いつも運転免許試験に失敗してしまいます," ""J'ai beau essayer, je rate toujours mon permis de conduire."""
あなたは日本人ですか?, Vous êtes japonais ?
はい、私は日本人です。," ""Oii, je suis japonais."""
私はフランス人ではなく、ドイツ人です。," ""Je ne suis pas français, je suis allemand."""
あなたはスイス人ですか、それともボルトガル人ですか?, Vous êtes suisse ou portugaise ?
彼はオ...ストリア人で、彼女達もオーストリア人です。," ""Il est autrichien, elles sont aussi autrichiennes."""
あなた方は俳優ですか?, Vous êtes acteurs et actrices ?
はい、私達は俳優です。," ""Oui, nous sommes acteurs et actrices."""
あなたは料理人ですか?, Vous êtes cuisinier ?
はい、そして私の妻も料理人です。," ""Oui, et ma femme est cuisinière aussi."""
「あなたは結婚していますか?」「いいえ、私は独身です」," ""« Vous êtes marié ? » « Non,  je suis célibataire. »"""
私は18才 で、成人しています。従つて私はパスポートを所有しています。," ""J'al 18 ans, je suls majeur donc j'al un passeport."""
私は都心にマンションを一軒、田舎に一戸建ての家を持つています, J'ai un appartement en ville et une maison à la campagne.
お宅の家具は古いものですか、それともモダンなものですか?," ""Chez vous, vous avez un mobilier ancien ou moderne? """
日本の大学生は1月と2月に試験があります。, Les étudiants japonais ont des examens en janvier et février.
彼は目が青く、丸顔で、顎髪をたくわえています。," ""Il a les yeux bleus, le visage rond et une barbe."""
彼女の髪は短くて、カールしています, Elle a les cheveux courts et frisés.
家で何か動物を飼つていますか?, Vous avez des animaux à la maison ?
私は運転免許を持つていません。, Je n'ai pas de permis de conduire.
彼は犬は飼つていませんが、猫を2匹飼つています。, Il n'a pas de chien mais il a deux chats.
彼はついてません。いつも何かしら問題を抱えています。 ," ""Il n'a pas de chance, il a toujours des problèmes."""
あなたは何力国語も話しますか?, Vous parlez plusieurs langues ?
私は8時に夕食をとります、軽い食事です。," ""Je dîne à huit heures, je mange légèrement."""
私達はパリの中心に住んでいます。, Nous habitons dans le centre de Paris.
お昼ごはんはどこで食べますか?, Vous déjeunez où?
私はたくさんのメ...ルを友達に送ります。, J'enroie beaucoup de courriels à mes amis.
私達はクラシック音楽が好きです。, Nous aimons la musique classique.
私はクレジットカードで支払いをします。, Je paye avec une carte de crédit.
